frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,3.0,[751.0364816893489 1373.8685331854963 1425.3685002827242 1991.4130350239611],[982.7545166015625 1781.5762939453125 1206.0250244140625 1847.5653076171875],0.4296318292617798,NA13NRU,0.23233657369780797
3,5.0,[2197.028951614282 1176.321194341989 2788.8906143751447 1758.5312274600626],[2433.03271484375 1582.6458740234375 2588.982421875 1637.9583740234375],0.5001336336135864,NT51VSU,0.08987478410016168
4,5.0,[2191.6478577873 1176.8234715770823 2791.093639229352 1764.0777600250435],[2427.992431640625 1584.5362548828125 2590.716552734375 1644.0462646484375],0.5539629459381104,HW51VSU,0.032812646521732936
4,3.0,[736.5558439916367 1392.0663113966134 1423.9260304522627 2021.093054199478],[976.4143676757812 1819.9945068359375 1180.7552490234375 1876.31005859375],0.3105965554714203,IN41JRU,0.41960780096809125
7,3.0,[724.434955106962 1407.4162789828997 1425.4199233912602 2052.3607156452504],[978.8580322265625 1833.4522705078125 1176.6474609375 1889.6568603515625],0.5057584047317505,NA13NRU,0.6002137725786959
8,3.0,[718.9467114428397 1413.350321606535 1422.0395778417483 2057.841535721871],[976.3353881835938 1833.965087890625 1169.33349609375 1908.08837890625],0.6619952321052551,MA13NRU,0.3420919952788989
9,5.0,[2195.59165001322 1192.6731999020294 2827.891722469916 1794.8999459172928],[2432.254638671875 1611.5047607421875 2591.012939453125 1674.0989990234375],0.3250270187854767,DN51VSU,0.11112061165811507
10,3.0,[700.6523454000768 1423.17266933862 1410.8245558662215 2072.6411576627497],[966.3224487304688 1869.7760009765625 1158.616455078125 1923.9927978515625],0.5143172144889832,NA13MRU,0.32595064756467595
10,5.0,[2195.6909275326857 1195.3269543797658 2826.5772346807767 1799.6279325859366],[2435.302978515625 1627.388427734375 2600.779052734375 1683.973876953125],0.4156489074230194,MI51YSU,0.10982324087188883
11,3.0,[696.9933062346822 1430.6380566258663 1408.6455640707536 2081.828700155188],[956.8445434570312 1868.7869873046875 1154.419677734375 1933.6260986328125],0.5662325024604797,NA13NRU,0.48516393497779803
12,3.0,[693.0885512216221 1439.9750885520161 1407.4490359531358 2092.210431678617],[966.6741943359375 1878.79833984375 1151.64111328125 1938.5064697265625],0.48975563049316406,MA13NRU,0.5922179577535021
12,5.0,[2195.443574763856 1204.6333455899094 2818.458759730616 1809.4218119733086],[2436.639404296875 1636.2421875 2594.3916015625 1694.2203369140625],0.4693867564201355,MO51VSU,0.11511505362732558
13,3.0,[690.8416978571101 1442.6669210393654 1407.2986064189488 2097.5692358185142],[951.356689453125 1884.0509033203125 1152.3436279296875 1944.0172119140625],0.49276506900787354,MA13NRU,0.4138265029226923
14,3.0,[687.0671011836598 1449.5348801540974 1403.3992825437572 2104.984697602996],[952.8392944335938 1886.0782470703125 1142.7723388671875 1955.2694091796875],0.6671212911605835,NA13NRU,0.25748574114360406
14,5.0,[2195.9736720960814 1213.7611262932076 2817.7550889117597 1819.324516865551],[2428.889892578125 1650.0726318359375 2599.794677734375 1705.099853515625],0.4294930398464203,MV51VSU,0.08793870240851273
15,3.0,[682.2201239341191 1458.1290013878274 1401.2953996312037 2113.086560637027],[945.853271484375 1905.4749755859375 1165.7655029296875 1968.8280029296875],0.5834133625030518,NA13NRU,0.7417184466395182
18,3.0,[671.1006743137168 1481.9425013616928 1394.685103776359 2136.306967847765],[940.2960205078125 1923.581298828125 1154.1317138671875 1990.3280029296875],0.6443450450897217,NA13NRU,0.43221159159262573
19,3.0,[669.6021690991859 1490.5776804438576 1394.7049662351722 2143.1148076450636],[945.301025390625 1932.6416015625 1105.074462890625 1988.757568359375],0.36931484937667847,NA13NRL,0.4646249471209264
20,3.0,[666.1904106268053 1496.7396199082064 1393.2126642917124 2148.8969261731827],[950.058837890625 1938.8232421875 1143.0413818359375 2009.7410888671875],0.6270130276679993,NA13NRU,0.11949768453478943
22,3.0,[655.8301041041625 1509.9070393709967 1385.9324097927708 2155.2006701619352],[936.0217895507812 1969.0283203125 1119.154296875 2023.2139892578125],0.44768285751342773,NA13NRU,0.4964948579331532
22,5.0,[2207.1089104939842 1254.0689827492229 2850.8048465724783 1875.3040265507948],[2444.1416015625 1701.454833984375 2609.91650390625 1754.447021484375],0.43745550513267517,XD51VSU,0.009375182579604577
23,3.0,[652.2900207136125 1515.3337445508082 1383.8537289821993 2156.2826012605437],[926.65283203125 1969.646484375 1132.9017333984375 2032.985595703125],0.5638145208358765,NA13MRU,0.9118112549458026
24,3.0,[649.827192374447 1520.360400995021 1382.1880369555547 2156.3380591093683],[918.7447509765625 1978.1429443359375 1115.1031494140625 2039.0775146484375],0.4802175462245941,NA13NRU,0.329639427190157
25,3.0,[648.014869622338 1525.7489691905403 1380.5281860069872 2156.5487665540763],[917.05224609375 1984.712158203125 1135.1129150390625 2051.633056640625],0.5896720290184021,NA13NRU,0.7950462412486661
26,5.0,[2207.2222990404875 1268.3845149809363 2859.99893273533 1905.3976881369654],[2447.30419921875 1722.6837158203125 2621.440185546875 1780.367431640625],0.4651830494403839,MJ51VSU,0.05702288620718937
28,3.0,[639.3986320623371 1546.381489855133 1379.1546899388775 2157.077575470269],[896.9813232421875 2017.21435546875 1118.6044921875 2078.8505859375],0.4259871542453766,MA13MRU,0.12150920834751741
30,3.0,[634.1010680297265 1562.745662422087 1372.559765385063 2158.499988500638],[894.82470703125 2033.744384765625 1111.3150634765625 2101.57861328125],0.44412538409233093,NA13NRU,0.2621288268756362
30,5.0,[2209.2474924426792 1286.0303534789907 2865.9333234838045 1938.8050149583776],[2456.441162109375 1750.8255615234375 2633.085205078125 1809.2669677734375],0.40410321950912476,CT51VSU,0.08723821811148381
40,5.0,[2217.1693368889 1344.3405970029776 2884.9074366102086 2016.0177741955058],[2477.828125 1823.8099365234375 2652.747314453125 1877.9183349609375],0.5688822269439697,NV51VSU,0.2656779678342584
40,6.0,[1132.9361874946658 1135.804200252732 1715.6984036408394 1589.5163266409502],[1339.0654296875 1415.5654296875 1471.2353515625 1476.3238525390625],0.2851327061653137,OC11SOG,0.09827016371187325
44,5.0,[2222.217736325954 1372.2084755253456 2903.75599800844 2052.841313846013],[2477.275146484375 1849.377685546875 2661.13427734375 1915.65087890625],0.5027790069580078,WJ51VSU,0.03983065336379259
52,5.0,[2234.4857014622626 1410.665902250145 2943.5425765139566 2111.266629065484],[2493.988037109375 1915.542236328125 2685.361083984375 1973.211669921875],0.4680822491645813,AI51VSU,0.12876101456536232
53,5.0,[2235.064318382343 1419.0400405354978 2946.0584676481294 2120.0512532998073],[2494.96142578125 1924.2044677734375 2690.448486328125 1984.1114501953125],0.5516861081123352,WU51VSV,0.16008525790155873
