frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
113,1,2057.24874147423 1136.1040722018956 2573.958318674553 1583.8387964124436,2239.523681640625 1420.394287109375 2407.7529296875 1478.99609375,0.31367892026901245,AF05JEQ,0.3530666486058419
114,1,2056.4943338652547 1139.3306305685633 2575.618436146845 1588.5806612336153,2241.1475423177085 1426.6407267252605 2412.0952962239585 1484.5433146158855,0,0,0
115,1,2055.7399262562794 1142.5571889352307 2577.2785536191373 1593.3225260547872,2242.7714029947915 1432.8871663411458 2416.4376627604165 1490.0905354817708,0,0,0
116,1,2054.985518647304 1145.7837473018983 2578.938671091429 1598.064390875959,2244.395263671875 1439.1336059570312 2420.780029296875 1495.6377563476562,0,0,0
117,1,2054.231111038329 1149.010305668566 2580.598788563721 1602.8062556971306,2246.0191243489585 1445.3800455729167 2425.1223958333335 1501.1849772135417,0,0,0
118,1,2053.4767034293536 1152.2368640352333 2582.2589060360133 1607.5481205183025,2247.6429850260415 1451.626485188802 2429.4647623697915 1506.732198079427,0,0,0
119,1,2052.7222958203783 1155.463422401901 2583.919023508305 1612.2899853394742,2249.266845703125 1457.8729248046875 2433.80712890625 1512.2794189453125,0.3552645742893219,AP05JEO,0.2178559313915248
120,1,2051.321958654333 1159.86786136506 2585.2341321987074 1617.9785096456249,2247.2606201171875 1462.4087727864583 2433.7354329427085 1517.534688313802,0,0,0
121,1,2049.9216214882867 1164.272300328219 2586.549240889109 1623.6670339517752,2245.25439453125 1466.9446207682292 2433.6637369791665 1522.7899576822917,0,0,0
122,1,2048.521284322241 1168.676739291378 2587.8643495795113 1629.3555582579258,2243.2481689453125 1471.48046875 2433.592041015625 1528.0452270507812,0,0,0
123,1,2047.1209471561954 1173.081178254537 2589.1794582699135 1635.0440825640765,2241.241943359375 1476.0163167317708 2433.5203450520835 1533.3004964192708,0,0,0
124,1,2045.7206099901498 1177.485617217696 2590.4945669603153 1640.7326068702268,2239.2357177734375 1480.5521647135417 2433.4486490885415 1538.5557657877605,0,0,0
125,1,2044.320272824104 1181.890056180855 2591.8096756507175 1646.4211311763775,2237.2294921875 1485.0880126953125 2433.376953125 1543.81103515625,0.38712090253829956,AP05JEO,0.23057942359539124
126,1,2044.7275479976365 1184.846351322936 2592.776332435475 1650.885465887383,2245.5545654296875 1486.6087646484375 2437.8900146484375 1545.3802185058594,0,0,0
127,1,2045.1348231711693 1187.802646465017 2593.7429892202326 1655.3498005983881,2253.879638671875 1488.1295166015625 2442.403076171875 1546.9494018554688,0,0,0
128,1,2045.542098344702 1190.758941607098 2594.7096460049906 1659.8141353093934,2262.2047119140625 1489.6502685546875 2446.9161376953125 1548.5185852050781,0,0,0
129,1,2045.9493735182346 1193.715236749179 2595.676302789748 1664.2784700203988,2270.52978515625 1491.1710205078125 2451.42919921875 1550.0877685546875,0.5210800170898438,AP05JEO,0.6405889277055925
130,1,2048.057151635906 1196.6405977255915 2598.1210286247588 1669.7676016453477,2271.230712890625 1500.8709716796875 2455.751220703125 1557.392333984375,0.36239859461784363,AP05JEO,0.18193965201259354
131,1,2047.3772612236573 1200.8658897112384 2599.8580962655433 1674.9847224062366,2268.18896484375 1504.1429443359375 2428.761474609375 1558.1561279296875,0.2852022051811218,AP05JEO,0.29170498493579006
132,1,2045.8038352877172 1206.1153395702988 2601.0562137150505 1680.8712995036528,2273.583251953125 1509.07666015625 2444.44921875 1559.872314453125,0.40653613209724426,AP05JEO,0.3392482085546666
133,1,2045.571845664215 1209.0780202304193 2603.914757801151 1683.6672714367844,2282.0302734375 1505.9373779296875 2447.369873046875 1567.0499267578125,0.3816336989402771,IP05JEO,0.18995516016128997
134,1,2044.3319715136763 1212.0993945882738 2605.2955873160254 1687.3082530620813,2277.192626953125 1515.4334716796875 2448.9173583984375 1574.7296142578125,0,0,0
135,1,2043.0920973631373 1215.120768946128 2606.6764168309 1690.9492346873785,2272.35498046875 1524.9295654296875 2450.46484375 1582.4093017578125,0.2518738806247711,AP05JEO,0.5216195999677794
136,1,2042.934921603874 1218.2817929269518 2610.0493618768537 1694.8155095497727,2273.845703125 1528.6534423828125 2458.07763671875 1587.1820068359375,0.41802334785461426,AP05JEO,0.2920646626409763
137,1,2044.9530539781463 1221.987099708268 2613.675844374953 1700.2037683840358,2275.0272216796875 1532.3397216796875 2459.3433837890625 1590.7593383789062,0,0,0
138,1,2046.9711863524187 1225.6924064895843 2617.302326873053 1705.5920272182989,2276.208740234375 1536.0260009765625 2460.609130859375 1594.336669921875,0,0,0
139,1,2048.989318726691 1229.3977132709008 2620.9288093711525 1710.9802860525622,2277.3902587890625 1539.7122802734375 2461.8748779296875 1597.9140014648438,0,0,0
140,1,2051.0074511009634 1233.103020052217 2624.555291869252 1716.3685448868252,2278.57177734375 1543.3985595703125 2463.140625 1601.4913330078125,0.3968459665775299,AP05JEO,0.2962669423690575
141,1,2050.426480706911 1237.541453251765 2625.9816872765823 1724.232682278723,2276.083251953125 1550.30126953125 2467.802001953125 1605.10107421875,0.5570945739746094,AP05JEO,0.16166138872047617
142,1,2050.4070637830064 1239.6887366401686 2628.315508874086 1729.6678516111058,2279.258056640625 1556.183837890625 2464.030517578125 1604.9906005859375,0.4504161477088928,AP05JEO,0.4793375448821073
143,1,2049.7362183945042 1243.72787432496 2631.055113486555 1736.5643976384185,2283.203857421875 1563.0878499348958 2461.00146484375 1613.7786458333333,0,0,0
144,1,2049.0653730060026 1247.7670120097516 2633.794718099024 1743.460943665731,2287.149658203125 1569.9918619791667 2457.972412109375 1622.5666910807292,0,0,0
145,1,2048.3945276175004 1251.8061496945431 2636.534322711493 1750.3574896930438,2291.095458984375 1576.8958740234375 2454.943359375 1631.354736328125,0.4670127332210541,AP05JEO,0.2762253961758317
146,1,2048.759323338807 1256.670697457564 2638.68140789102 1757.4542449633777,2273.36279296875 1580.063232421875 2470.16015625 1635.315673828125,0.5622801184654236,AP05JEO,0.15130003602831277
147,1,2048.777306269346 1260.6191967648485 2640.3266264206886 1764.1966904210742,2276.140869140625 1582.9749755859375 2463.409423828125 1637.420654296875,0.46972692012786865,AP05JEO,0.31178008488016784
148,1,2046.5491072384073 1264.0376825358735 2641.285066502157 1769.3414999085667,2280.123779296875 1582.712158203125 2475.40283203125 1642.782470703125,0.39480113983154297,AP05JEO,0.24035935115115908
149,1,2050.1639790704953 1268.3112173656486 2647.5300692090927 1776.6262594546247,2287.001220703125 1605.47802734375 2468.679931640625 1655.491455078125,0.6354148983955383,AP05JEO,0.3583474570188196
150,1,2054.220351911067 1273.2634437867318 2656.1728004229826 1784.9176941129253,2267.1640625 1596.6732177734375 2490.251220703125 1656.8094482421875,0.6323497891426086,AP05JEO,0.3168284456295555
151,1,2056.2564602738794 1275.7208684983646 2660.7668589712866 1789.7502999152669,2277.281494140625 1599.7100830078125 2471.9775390625 1654.25390625,0.5847084522247314,AP05JEO,0.39369144243139614
152,1,2051.5497322803276 1280.0758869361302 2658.6713466092397 1793.9305242207156,2287.056884765625 1607.7418212890625 2475.796630859375 1659.0684814453125,0.6280205249786377,AP05JEO,0.6400992581507218
153,1,2046.0994540602596 1284.6265862945584 2657.1085844799954 1800.3017359803766,2293.630615234375 1614.878173828125 2486.68310546875 1677.737548828125,0.6167207956314087,AP05JEO,0.38198025570271044
154,1,2045.1625220138594 1286.1530447928283 2662.2491274057265 1803.3982380127302,2299.877197265625 1634.1529541015625 2468.419189453125 1685.367919921875,0.33153408765792847,AP05JEO,0.3193004012717103
155,1,2048.0662814964444 1290.5175538054766 2670.629833608822 1808.836620048918,2283.779541015625 1630.21875 2431.336181640625 1683.9173583984375,0.5439569354057312,AP05JEC,0.1408319903857013
156,1,2054.1380593835697 1300.8797479016332 2672.943941352855 1819.960779150749,2291.1796875 1634.9542236328125 2478.822509765625 1687.6585693359375,0.3628133237361908,AP05JEO,0.3417464565798446
157,1,2047.9747294982812 1302.585131618784 2668.585475880371 1823.0303324545757,2296.529296875 1627.38134765625 2508.248291015625 1689.068115234375,0.5652996897697449,AP05JEO,0.5933614590663183
158,1,2048.3099404665218 1306.5663695223236 2669.4679463835355 1827.672455152155,2286.55419921875 1650.336669921875 2471.253662109375 1703.774169921875,0.5538003444671631,AP05JEO,0.1755008450052962
159,1,2047.2584179931725 1311.1671728758092 2670.6198551886637 1834.0927176551122,2295.711181640625 1639.2843017578125 2507.35595703125 1702.5347900390625,0.6890102028846741,AP05JEO,0.37410774479654874
160,1,2057.3829277246173 1315.0531668442918 2674.2881378980906 1838.4706348130608,2303.07666015625 1649.528076171875 2501.829345703125 1702.2159423828125,0.6065872311592102,AP05JEO,0.22957618121201442
161,1,2055.4199410464967 1320.1300898461247 2674.3658768140176 1845.8664028733897,2307.6005859375 1664.92919921875 2505.9058837890625 1717.2319946289062,0,0,0
162,1,2053.456954368376 1325.2070128479577 2674.4436157299447 1853.2621709337186,2312.12451171875 1680.330322265625 2509.982421875 1732.248046875,0.5653024911880493,AP05JEO,0.47598545155011496
163,1,2056.545087395103 1329.0013771636902 2678.2322246988024 1858.8346906468903,2295.927490234375 1668.2852783203125 2516.620849609375 1729.6578369140625,0.594031035900116,AP05JEO,0.3457711425576602
164,1,2062.243622824003 1333.0447103067197 2682.7621016354033 1865.8662137587282,2301.985107421875 1679.962646484375 2509.06494140625 1735.1781005859375,0.5083180069923401,AP05JEO,0.3173530175441593
165,1,2068.623246858112 1338.0728433514628 2686.3392838858053 1874.7671787335512,2295.714111328125 1681.1729736328125 2507.587646484375 1741.5889892578125,0.6807125806808472,AP05JEO,0.16271714035421192
166,1,2066.869897403269 1343.2623832189997 2684.005303350699 1881.4865737020068,2308.517578125 1700.7623291015625 2507.1953125 1752.4266357421875,0.624049186706543,AP05JEO,0.3922582731838789
167,1,2063.0753150976616 1349.4121485325325 2684.1001659101794 1889.0196288817176,2302.28173828125 1689.544189453125 2533.90283203125 1751.0830078125,0.35370591282844543,AP05JEO,0.22642141491343012
168,1,2065.391927316023 1354.3668020708978 2687.1285955415638 1894.542298956152,2304.893896484375 1697.6124755859375 2531.869970703125 1757.8411376953125,0,0,0
169,1,2067.7085395343847 1359.3214556092632 2690.1570251729477 1900.0649690305868,2307.5060546875 1705.68076171875 2529.837109375 1764.599267578125,0,0,0
170,1,2070.0251517527463 1364.2761091476286 2693.185454804332 1905.5876391050213,2310.118212890625 1713.7490478515624 2527.804248046875 1771.3573974609376,0,0,0
171,1,2072.341763971108 1369.230762685994 2696.213884435716 1911.110309179456,2312.73037109375 1721.817333984375 2525.77138671875 1778.11552734375,0,0,0
172,1,2074.6583761894694 1374.1854162243594 2699.2423140671003 1916.6329792538904,2315.342529296875 1729.8856201171875 2523.738525390625 1784.8736572265625,0.589110791683197,AP05JEO,0.20273613705107565
173,1,2080.1855409027003 1380.4163878269155 2703.2535184856606 1924.1817188383154,2330.158203125 1736.357666015625 2531.4947509765625 1791.5009765625,0,0,0
174,1,2085.7127056159316 1386.6473594294716 2707.2647229042204 1931.7304584227404,2344.973876953125 1742.8297119140625 2539.2509765625 1798.1282958984375,0.6619600057601929,IP05JED,0.3494858543613018
175,1,2085.5019460279054 1393.2738415079668 2709.688873244248 1939.1184480273876,2339.266845703125 1753.952880859375 2535.865966796875 1808.363037109375,0,0,0
176,1,2085.2911864398793 1399.9003235864618 2712.113023584276 1946.506437632035,2333.559814453125 1765.0760498046875 2532.48095703125 1818.5977783203125,0,0,0
177,1,2085.080426851853 1406.526805664957 2714.5371739243037 1953.894427236682,2327.852783203125 1776.19921875 2529.095947265625 1828.83251953125,0.5658510327339172,AP05JEO,0.4955912813571878
178,1,2088.025820670834 1411.4713919251287 2721.048754847073 1960.7852271830964,2320.204833984375 1775.8641357421875 2521.72216796875 1828.6175537109375,0.5645155906677246,AP05JEO,0.2748153461233242
179,1,2089.0518118475916 1416.070553031152 2727.476142536672 1967.7262389951607,2317.739013671875 1776.799072265625 2542.005859375 1832.76416015625,0.529973030090332,AP05JEO,0.31376631641597647
180,1,2091.375306839849 1421.4626771919986 2731.7522596824574 1976.1015792761357,2316.68798828125 1790.107666015625 2523.398681640625 1846.953125,0.5971564650535583,AP05JED,0.34637161843274644
181,1,2092.5825061096625 1426.5574239466478 2735.4362813382545 1983.602684059481,2326.83837890625 1796.9049072265625 2549.13427734375 1852.1298828125,0.6194354295730591,AP05JED,0.20345214243950108
182,1,2092.699096336978 1429.2721715478494 2740.8910336189065 1989.425339006102,2337.9443359375 1791.58349609375 2552.658935546875 1849.7861328125,0.6762089133262634,AP05JED,0.34899700469806977
